,Search,Entered on,compound_avg,percent_positive,percent_negative,angry_avg,fear_avg,happy_avg,sad_avg,surprise_avg
0,healthcare,2020-10-22,0.06918386666666666,42.8,31.6,0.029699999999999997,0.28903333333333336,0.07441333333333335,0.19249333333333335,0.22914000000000004
1,healthcare,2020-10-26,0.026822600000000005,42.4,34.9,0.06367,0.35655,0.10806,0.16349,0.20316000000000004
2,healthcare,2020-10-27,0.11621250000000001,48.333333333333336,25.333333333333336,0.027950000000000006,0.3896,0.10921666666666667,0.1522666666666667,0.19375
3,healthcare,2020-10-28,0.0470387,42.1,29.799999999999997,0.034550000000000004,0.4228100000000001,0.08329,0.14968,0.17908
4,healthcare,2020-10-29,0.0895292,44.4,28.199999999999996,0.0522,0.36793999999999993,0.10664,0.17702,0.19168000000000002
5,healthcare,2020-10-31,0.12927780000000003,47.4,26.400000000000002,0.056580000000000005,0.3463,0.1224,0.15168,0.19822000000000004
6,healthcare,2020-11-01,0.079268,44.5,32.0,0.030925,0.352175,0.112375,0.171675,0.2296
7,healthcare,2020-11-02,0.09823955000000001,44.05,26.700000000000003,0.04027,0.33555,0.094755,0.185615,0.21186000000000002
8,healthcare,2020-11-03,0.08933283870967743,46.774193548387096,29.806451612903224,0.0426,0.35020645161290326,0.11898709677419356,0.17308709677419354,0.20157741935483875
9,healthcare,2020-11-04,0.108525,48.0,27.800000000000004,0.032,0.38312,0.13278,0.1845,0.17714000000000002
10,healthcare,2020-11-05,0.1102503,47.4,25.7,0.037160000000000006,0.36305,0.09494999999999999,0.17074,0.20534
11,healthcare,2020-11-08,0.09002160000000001,44.800000000000004,28.599999999999998,0.04957,0.33887,0.10089000000000001,0.18250999999999998,0.18863
12,healthcare,2020-11-09,0.11133694444444445,47.55555555555556,27.88888888888889,0.03531111111111111,0.36501666666666666,0.09762777777777779,0.16924444444444445,0.18331111111111112
13,healthcare,2020-11-12,0.12099285714285715,48.42857142857142,24.714285714285715,0.03281428571428571,0.3737142857142857,0.11335714285714286,0.14694285714285715,0.1940285714285714
14,healthcare,2020-11-13,0.12979408695652173,48.91304347826087,24.869565217391305,0.040604347826086955,0.35702608695652177,0.10740000000000001,0.17736956521739133,0.19036956521739132
15,healthcare,2020-11-14,0.08011779999999999,44.3,30.099999999999998,0.03325,0.35306,0.08946,0.20779000000000003,0.19395999999999997
16,healthcare,2020-11-16,0.12578,49.0,26.0,0.03514,0.38206,0.11032,0.17842,0.1774
17,healthcare,2020-11-17,0.1396746,48.0,26.200000000000003,0.046299999999999994,0.38972,0.10596000000000001,0.16362000000000002,0.17972
18,healthcare,2020-11-18,0.10970760000000002,46.400000000000006,25.0,0.039540000000000006,0.32234,0.12256,0.16136,0.18954000000000001
19,healthcare,2020-11-19,0.1148044,46.2,28.799999999999997,0.039040000000000005,0.35352,0.09674,0.18254,0.18568
20,healthcare,2020-11-20,0.06741280000000001,43.2,28.599999999999998,0.03986,0.34062,0.10346,0.17098000000000002,0.19468000000000002
21,healthcare,2021-01-06,0.07485533333333333,46.25,29.833333333333336,0.031041666666666665,0.37165833333333337,0.11239166666666667,0.16969166666666666,0.17955833333333332
22,healthcare,2021-01-07,0.11497231999999999,46.239999999999995,24.92,0.035264,0.362892,0.11018400000000002,0.148132,0.183372
23,healthcare,2021-01-12,0.07868800000000001,44.0,28.714285714285715,0.038335714285714285,0.3404,0.11272142857142857,0.16537142857142856,0.19334285714285715
24,healthcare,2021-01-13,0.07529159999999999,42.0,27.6,0.03404,0.36974,0.10664,0.13974,0.1973
25,healthcare,2021-01-15,0.159188,45.4,21.0,0.023960000000000002,0.43326,0.12662,0.12825999999999999,0.2005
26,healthcare,2021-01-17,0.1100144,45.2,24.8,0.03408,0.36596000000000006,0.0989,0.20278,0.15768000000000001
27,healthcare,2021-01-19,0.11057940000000001,46.266666666666666,23.599999999999998,0.04222,0.3187,0.09870666666666669,0.15968000000000002,0.22345999999999996
28,healthcare,2021-01-21,0.11273068,44.440000000000005,23.72,0.032027999999999994,0.348188,0.1061,0.14444400000000002,0.2143
29,healthcare,2021-01-20,0.08958860000000002,44.2,27.800000000000004,0.03804,0.3789,0.10648,0.15569999999999998,0.16038
30,healthcare,2021-01-22,0.10684119999999998,45.4,25.4,0.04056,0.35178,0.09288,0.16442,0.19966000000000003
31,healthcare,2021-01-24,0.16709899999999997,53.0,18.0,0.0202,0.4608,0.10640000000000001,0.13190000000000002,0.16
32,healthcare,2021-01-25,0.13536299999999998,49.0,23.666666666666668,0.0356,0.3844666666666667,0.1063,0.1611,0.16536666666666666
33,healthcare,2021-01-28,0.13210153333333335,48.0,24.8,0.03064,0.3882733333333334,0.11021333333333333,0.15670666666666666,0.17947999999999997
34,healthcare,2021-01-30,0.10860220000000001,45.2,25.4,0.03802,0.37032000000000004,0.08510000000000001,0.15316,0.18076
35,healthcare,2021-02-01,0.1248422,48.4,23.0,0.05508,0.35503999999999997,0.09664,0.14854,0.18824000000000002
36,healthcare,2021-02-02,0.15503600000000003,50.0,21.5,0.051500000000000004,0.3233,0.1,0.13415000000000002,0.19060000000000002
37,healthcare,2021-02-04,0.1192778,46.0,25.0,0.027260000000000006,0.35982,0.11064000000000002,0.15088000000000001,0.1768
38,healthcare,2021-02-08,0.1076018,44.2,25.8,0.03552,0.36556,0.092,0.15960000000000002,0.20882000000000003
39,healthcare,2021-02-09,0.13067628571428572,48.142857142857146,23.57142857142857,0.03154285714285714,0.41289999999999993,0.09965714285714286,0.15651428571428572,0.17171428571428574
