,Search,Entered on,compound_avg,percent_positive,percent_negative,angry_avg,fear_avg,happy_avg,sad_avg,surprise_avg
0,climate change,2020-10-22,0.03242613333333334,39.733333333333334,36.46666666666666,0.034326666666666665,0.37524666666666673,0.06694,0.20319333333333334,0.2529133333333333
1,climate change,2020-10-26,0.015014799999999991,37.9,34.300000000000004,0.04872,0.38076,0.07235,0.19855,0.18314
2,climate change,2020-10-27,0.04332933333333333,41.66666666666667,29.666666666666668,0.04771666666666667,0.32166666666666666,0.08455,0.21236666666666668,0.1914833333333333
3,climate change,2020-10-28,0.008864499999999999,38.0,34.699999999999996,0.054329999999999996,0.35556,0.07418000000000001,0.1951,0.18828
4,climate change,2020-10-29,0.05436979999999999,39.4,31.6,0.0478,0.32543999999999995,0.08656,0.23096,0.18860000000000002
5,climate change,2020-10-31,-0.05089020000000002,31.0,39.4,0.05256,0.31862,0.06838000000000001,0.17604000000000003,0.23182
6,climate change,2020-11-01,-0.060663999999999996,34.0,44.25,0.051300000000000005,0.362825,0.060225,0.22925,0.18350000000000002
7,climate change,2020-11-02,-0.012409949999999998,36.85,36.85,0.03993,0.3361950000000001,0.08122,0.21658499999999997,0.199555
8,climate change,2020-11-03,0.02289212903225807,38.70967741935484,34.903225806451616,0.045883870967741935,0.3004096774193548,0.0898516129032258,0.21685483870967742,0.2124967741935484
9,climate change,2020-11-04,0.023882800000000003,39.800000000000004,36.0,0.0579,0.30084000000000005,0.09078,0.23526000000000002,0.18054000000000003
10,climate change,2020-11-05,0.0408961,39.7,32.4,0.054580000000000004,0.3350600000000001,0.07023,0.19507999999999998,0.21850999999999998
11,climate change,2020-11-08,0.0635701,48.1,27.6,0.04062999999999999,0.30524,0.07068,0.19745000000000001,0.16239
12,climate change,2020-11-09,0.029891944444444443,38.166666666666664,30.72222222222222,0.046344444444444445,0.33323333333333327,0.09772777777777779,0.18334444444444442,0.21927222222222223
13,climate change,2020-11-12,-0.02555457142857143,36.285714285714285,38.285714285714285,0.04688571428571429,0.3376428571428572,0.08231428571428571,0.20625714285714286,0.18339999999999998
14,climate change,2020-11-13,0.022083434782608696,39.52173913043479,33.608695652173914,0.045095652173913044,0.31928695652173916,0.08411304347826087,0.22185652173913042,0.18381739130434782
15,climate change,2020-11-14,-0.003961900000000001,40.9,35.5,0.04542,0.30928,0.09043000000000001,0.23817,0.17023
16,climate change,2020-11-16,0.010115600000000004,38.4,32.800000000000004,0.04988,0.33638,0.06752,0.18730000000000002,0.2083
17,climate change,2020-11-17,0.0535036,39.800000000000004,29.799999999999997,0.04786,0.35796,0.06776,0.20084,0.19518000000000002
18,climate change,2020-11-18,0.0265362,38.4,34.0,0.056760000000000005,0.32594,0.11136,0.18796000000000002,0.15124
19,climate change,2020-11-19,0.0390784,37.6,33.6,0.039540000000000006,0.39114,0.09512000000000001,0.17048000000000002,0.18320000000000003
20,climate change,2020-11-20,0.011668199999999998,37.0,33.4,0.039200000000000006,0.32586000000000004,0.08996000000000001,0.19256,0.19763999999999998
21,climate change,2021-01-06,-0.002509833333333334,36.75,34.91666666666667,0.04548333333333334,0.35605,0.074125,0.184725,0.183275
22,climate change,2021-01-07,0.027466039999999997,40.839999999999996,32.68,0.050131999999999996,0.347416,0.08634000000000001,0.18327200000000002,0.19337200000000002
23,climate change,2021-01-12,-0.015446214285714294,33.0,41.14285714285714,0.052907142857142854,0.3125928571428571,0.0749357142857143,0.2293714285714286,0.18321428571428575
24,climate change,2021-01-13,-0.006663600000000001,33.4,34.4,0.054020000000000006,0.34296000000000004,0.0604,0.21602000000000002,0.18818000000000001
25,climate change,2021-01-15,0.018924400000000004,38.4,36.0,0.04404000000000001,0.36242,0.07130000000000002,0.22194,0.18172
26,climate change,2021-01-17,0.0544454,39.800000000000004,30.2,0.05124,0.32842,0.07864,0.21224,0.18704
27,climate change,2021-01-19,0.0343704,40.93333333333333,32.266666666666666,0.03928666666666667,0.34628000000000003,0.10487333333333333,0.21008666666666667,0.20486666666666667
28,climate change,2021-01-21,0.06492176,42.96,30.44,0.041452,0.335408,0.09258,0.19876800000000003,0.195884
29,climate change,2021-01-20,0.0705756,44.4,30.599999999999998,0.0435,0.32448,0.11675999999999999,0.18524000000000002,0.19338
30,climate change,2021-01-22,0.04167680000000001,40.400000000000006,34.599999999999994,0.05452,0.35664,0.09614,0.18838,0.14772000000000002
31,climate change,2021-01-24,-0.05098399999999999,38.0,35.0,0.1319,0.3275,0.1016,0.14560000000000003,0.18270000000000003
32,climate change,2021-01-25,0.00021199999999999588,33.33333333333333,31.666666666666664,0.04886666666666667,0.3457,0.07763333333333335,0.18243333333333334,0.19773333333333334
33,climate change,2021-01-28,0.004865533333333333,39.33333333333333,34.13333333333333,0.03912666666666667,0.34864,0.08318,0.20991333333333334,0.20392000000000005
34,climate change,2021-01-30,0.051123600000000005,39.4,30.4,0.03666,0.35346000000000005,0.09254000000000001,0.19214,0.18874000000000002
35,climate change,2021-02-01,0.0789662,43.0,29.799999999999997,0.0442,0.38784,0.07124000000000001,0.17454000000000003,0.20966
36,climate change,2021-02-02,0.06160399999999999,39.5,29.5,0.031000000000000007,0.33535,0.094,0.21910000000000004,0.21995
37,climate change,2021-02-04,0.045236799999999994,41.4,32.2,0.06058000000000001,0.34286,0.08116,0.22236,0.15830000000000002
38,climate change,2021-02-08,0.012955,39.6,34.4,0.04632000000000001,0.33264,0.0994,0.23534000000000002,0.15381999999999998
39,climate change,2021-02-09,0.059300750000000006,41.125,28.875,0.04055,0.35536249999999997,0.082475,0.2106125,0.1664875
