,Unnamed: 0,Search,Entered on,compound_avg,percent_positive,percent_negative,angry_avg,fear_avg,happy_avg,sad_avg,surprise_avg
27,27,Trump,2021-01-17,-0.013616199999999998,36.6,37.0,0.029900000000000006,0.23578000000000002,0.06014,0.15038,0.48698
28,28,Trump,2021-01-19,0.0480532,44.2,31.8,0.03225333333333333,0.1954,0.07054666666666667,0.18982,0.4884266666666667
29,29,Trump,2021-01-21,0.005136120000000003,37.36,35.28,0.031356,0.20916000000000004,0.06896000000000001,0.14478000000000002,0.5081720000000001
30,30,Trump,2021-01-20,0.0170218,37.0,34.0,0.03518000000000001,0.1959,0.08056,0.15742,0.50212
31,31,Trump,2021-01-22,-0.008015200000000005,36.4,34.2,0.0281,0.23484000000000002,0.0585,0.13488,0.5212399999999999
32,32,Trump,2021-01-24,-0.033166000000000015,33.0,36.0,0.0333,0.17350000000000002,0.0391,0.1411,0.5423
33,33,Trump,2021-01-25,-0.029731333333333325,38.66666666666666,37.66666666666666,0.027000000000000003,0.2375,0.05833333333333333,0.1408666666666667,0.4857333333333334
34,34,Trump,2021-01-28,-0.0221686,35.4,35.46666666666667,0.030160000000000006,0.24104000000000006,0.056879999999999986,0.15205333333333335,0.4784
35,35,Trump,2021-01-30,0.030342800000000007,41.0,32.4,0.03054,0.23246,0.050660000000000004,0.15930000000000002,0.4864000000000001
36,36,Trump,2021-02-01,-0.014250399999999996,33.800000000000004,37.2,0.02646,0.24258000000000002,0.055900000000000005,0.13824,0.4760800000000001
37,37,Trump,2021-02-02,0.011513500000000001,40.0,37.5,0.0508,0.2579,0.05865,0.1164,0.4807000000000001
38,38,Trump,2021-02-04,-0.0014076000000000054,37.4,36.0,0.035160000000000004,0.2238,0.061739999999999996,0.14689999999999998,0.48573999999999995
39,39,Trump,2021-02-08,-0.032703600000000006,33.800000000000004,38.2,0.02206,0.2336,0.054640000000000015,0.12686,0.5163399999999999
40,40,Trump,2021-02-09,-0.038679000000000005,33.75,38.625,0.029025,0.2344125,0.06226250000000001,0.14728750000000002,0.488925
41,41,Trump,2021-02-10,-0.034210199999999996,34.8,35.8,0.026300000000000004,0.23724,0.07026,0.14787999999999998,0.4793199999999999
0,0,Biden,2020-10-22,0.0003708124999999962,36.1875,33.75,0.039650000000000005,0.3183375,0.0606625,0.15925625,0.346575
1,1,Biden,2020-10-26,0.053574299999999984,41.5,28.3,0.034180000000000016,0.29945,0.07368999999999999,0.18308,0.28292
2,2,Biden,2020-10-27,0.06584966666666668,41.0,30.5,0.04161666666666666,0.3036166666666667,0.08181666666666668,0.15308333333333332,0.28601666666666664
3,3,Biden,2020-10-28,0.02767133580705009,37.01298701298701,31.632653061224488,0.030157699443413725,0.2946846011131725,0.06369202226345085,0.1769573283858998,0.2882838589981447
4,4,Biden,2020-10-29,0.06212480000000001,39.8,29.2,0.02652,0.26870000000000005,0.0619,0.17715999999999998,0.3012
5,5,Biden,2020-10-31,0.0234048,38.8,32.6,0.04324,0.28962,0.0677,0.20968,0.25724
6,6,Biden,2020-11-01,0.05113325,42.75,30.75,0.041650000000000006,0.306,0.076325,0.18125,0.2793
7,7,Biden,2020-11-02,0.1077308,46.25,27.0,0.03575,0.26436000000000004,0.07829500000000003,0.193755,0.28065500000000004
8,8,Biden,2020-11-03,0.15217285714285714,46.57142857142857,21.057142857142857,0.03350285714285715,0.2357514285714285,0.08530857142857143,0.17505714285714286,0.2878114285714286
9,9,Biden,2020-11-04,0.1057498,44.2,23.6,0.042660000000000003,0.29146000000000005,0.06758000000000003,0.17976000000000006,0.26406
10,10,Biden,2020-11-05,0.1043922,42.8,24.3,0.03986,0.2714400000000001,0.06184000000000001,0.1662,0.31811
11,11,Biden,2020-11-08,0.07582639999999999,43.1,27.6,0.041760000000000005,0.29888000000000003,0.07455,0.16927,0.26187
12,12,Biden,2020-11-09,0.06426033459255262,41.284403669724774,28.764166216945487,0.0442471667566109,0.2817485159201295,0.07528872099298436,0.19939017808958445,0.2400269832703724
13,13,Biden,2020-11-11,0.047783,42.0,31.0,0.0733,0.2748,0.0816,0.2147,0.2352
14,14,Biden,2020-11-12,0.07664114285714288,41.42857142857143,28.000000000000004,0.03885714285714286,0.27235714285714285,0.07591428571428571,0.16504285714285716,0.26012857142857143
15,15,Biden,2020-11-13,0.06716891304347826,42.08695652173913,28.043478260869566,0.04583478260869566,0.2851913043478261,0.08456956521739131,0.17959565217391307,0.2637913043478261
16,16,Biden,2020-11-14,0.0441953,40.40000000000001,30.1,0.03721,0.2745600000000001,0.06847999999999999,0.17243,0.27061999999999997
17,17,Biden,2020-11-16,0.03245,38.6,32.6,0.048379999999999986,0.31274,0.06798,0.15722000000000005,0.28108
18,18,Biden,2020-11-17,0.0453282,38.0,30.2,0.036120000000000006,0.31072,0.0834,0.18504,0.24222
19,19,Biden,2020-11-18,-0.012317599999999998,35.2,33.800000000000004,0.047700000000000006,0.25888,0.064,0.18078,0.28212
20,20,Biden,2020-11-19,-0.01574600000000001,35.8,36.0,0.05292,0.26384,0.06114,0.18026,0.30510000000000004
21,21,Biden,2020-11-20,0.061196400000000005,42.6,30.0,0.052879999999999996,0.2734,0.09622,0.16422,0.24660000000000004
22,22,Biden,2021-01-06,-0.004506916666666665,36.75,36.41666666666667,0.042925000000000005,0.3168,0.06785000000000001,0.18721666666666667,0.2679
23,23,Biden,2021-01-07,0.00780676,37.88,33.84,0.04656,0.2947480000000001,0.081544,0.173288,0.28124
24,24,Biden,2021-01-12,0.015252866666666668,38.0,32.666666666666664,0.04339333333333333,0.2964533333333334,0.0733,0.18641333333333332,0.2618466666666667
25,25,Biden,2021-01-13,0.051449400000000006,42.0,29.6,0.022720000000000004,0.31260000000000004,0.09716,0.18408,0.26858000000000004
26,26,Biden,2021-01-15,0.032440000000000004,38.6,31.0,0.047400000000000005,0.2888200000000001,0.08792,0.18826,0.23104
27,27,Biden,2021-01-17,0.044291000000000004,39.2,29.6,0.04198,0.26471999999999996,0.09477999999999999,0.18636000000000005,0.2856
28,28,Biden,2021-01-19,0.09390286666666668,44.8,25.86666666666667,0.04646,0.2534733333333334,0.11071333333333333,0.16774666666666668,0.28758
29,29,Biden,2021-01-21,0.056087839999999986,39.8,28.360000000000007,0.034748,0.294596,0.113072,0.166692,0.25142
30,30,Biden,2021-01-20,0.1000088,43.6,25.2,0.0403,0.26082000000000005,0.1465,0.13577999999999998,0.27196000000000004
31,31,Biden,2021-01-22,-0.0027426000000000004,33.800000000000004,35.6,0.042040000000000015,0.3123,0.0949,0.15962,0.26268
32,32,Biden,2021-01-24,0.040862,35.0,31.0,0.0312,0.3686,0.0761,0.16080000000000005,0.22270000000000004
33,33,Biden,2021-01-25,-0.022902000000000002,31.0,32.33333333333333,0.04343333333333334,0.32916666666666666,0.0925,0.1928,0.22830000000000006
34,34,Biden,2021-01-28,0.01874213333333333,37.466666666666654,30.93333333333333,0.03863333333333333,0.33598666666666666,0.079,0.17556000000000002,0.2335266666666667
35,35,Biden,2021-01-30,0.041765,37.8,29.0,0.034120000000000004,0.35484000000000004,0.08222,0.16555999999999998,0.22255999999999998
36,36,Biden,2021-02-01,0.012150200000000002,37.4,34.599999999999994,0.02808,0.34118000000000004,0.07608,0.18902,0.2191
37,37,Biden,2021-02-02,0.1056345,42.5,22.5,0.0325,0.35295000000000004,0.07860000000000003,0.17335,0.2069
38,38,Biden,2021-02-04,0.0187264,37.6,30.2,0.04444,0.31024,0.07293999999999999,0.17470000000000002,0.23522
39,39,Biden,2021-02-08,-0.0006636000000000024,38.8,34.2,0.0401,0.31732,0.06559999999999999,0.18168,0.26876
40,40,Biden,2021-02-09,0.029442375,38.5,32.375,0.04860000000000001,0.35277499999999995,0.0796125,0.1514875,0.234625
41,41,Biden,2021-02-10,0.02659740000000001,37.0,32.6,0.0351,0.30992000000000003,0.10099999999999999,0.1889,0.23644
0,0,Amy Coney Barrett,2020-10-22,0.06662546666666669,51.8,30.466666666666665,0.025626666666666662,0.42523333333333335,0.12159333333333334,0.08644666666666667,0.25542
1,1,Amy Coney Barrett,2020-10-26,0.2085634,57.9,24.7,0.059579999999999994,0.4586,0.08847000000000001,0.1145,0.19335
2,2,Amy Coney Barrett,2020-10-27,0.1875423333333333,55.00000000000001,24.0,0.07271666666666668,0.44425,0.08315,0.1524666666666667,0.17331666666666667
3,3,Amy Coney Barrett,2020-10-28,0.11912620000000003,45.9,29.2,0.0463,0.3858200000000001,0.09442,0.15813,0.21353000000000005
4,4,Amy Coney Barrett,2020-10-29,0.1564024,51.2,26.6,0.05810000000000001,0.31745999999999996,0.13222,0.13527999999999998,0.25178
5,5,Amy Coney Barrett,2020-10-31,0.1138568,43.8,23.8,0.04214000000000001,0.35118,0.08109999999999999,0.13982,0.2151
6,6,Amy Coney Barrett,2020-11-01,0.12188274999999997,48.0,21.75,0.035275,0.3503,0.08142499999999997,0.1796,0.2276
7,7,Amy Coney Barrett,2020-11-02,0.16532365000000002,46.7,21.85,0.033514999999999996,0.4179450000000001,0.08269,0.13210500000000006,0.22005
8,8,Amy Coney Barrett,2020-11-03,0.2789019696969697,61.0,16.818181818181817,0.03436969696969697,0.4906454545454546,0.08119090909090909,0.11136666666666667,0.17487272727272726
9,9,Amy Coney Barrett,2020-11-04,0.204087,55.2,19.2,0.026660000000000003,0.42688000000000004,0.11364000000000002,0.10446,0.20592
10,10,Amy Coney Barrett,2020-11-05,0.1556715,41.7,15.1,0.029620000000000007,0.44828,0.06352000000000001,0.10855,0.23359000000000002
11,11,Amy Coney Barrett,2020-11-08,0.15950889999999998,50.6,19.3,0.03603,0.41048999999999997,0.052079999999999994,0.17188,0.19283
