,Unnamed: 0,Search,Entered on,compound_avg,percent_positive,percent_negative,angry_avg,fear_avg,happy_avg,sad_avg,surprise_avg
0,0,mask,2020-10-22,0.08348093333333334,42.2,25.666666666666664,0.04039333333333334,0.19834666666666664,0.09440666666666668,0.5305266666666666,0.11838
1,1,mask,2020-10-26,0.05548240000000001,36.9,27.700000000000006,0.034710000000000005,0.18863,0.07174,0.5435,0.12675
2,2,mask,2020-10-27,0.0397546,38.6,30.4,0.03374,0.21804,0.08306000000000001,0.49286,0.14944000000000002
3,3,mask,2020-10-28,0.07924910000000002,40.9,25.3,0.03535,0.21017,0.07384,0.4946800000000001,0.15022000000000002
4,4,mask,2020-10-29,0.0535798,40.2,29.8,0.033900000000000007,0.20976000000000006,0.09673999999999999,0.49296,0.15574000000000002
5,5,mask,2020-10-31,0.0305232,35.8,31.0,0.04072,0.1987,0.07446,0.5008199999999999,0.15254
6,6,mask,2020-11-01,0.06135350000000001,38.0,26.5,0.030725,0.195025,0.082125,0.5450750000000001,0.123825
7,7,mask,2020-11-02,0.07928695000000002,42.15,25.6,0.037725,0.18524,0.0891,0.5233700000000001,0.141355
8,8,mask,2020-11-03,0.07533435483870968,40.0,25.87096774193548,0.033654838709677413,0.1905903225806452,0.0833677419354839,0.5286580645161291,0.13745806451612905
9,9,mask,2020-11-04,0.044944600000000015,38.6,28.2,0.042720000000000015,0.18892,0.07330000000000003,0.5224,0.14787999999999998
10,10,mask,2020-11-05,0.0578924,39.2,27.800000000000004,0.041010000000000005,0.19976,0.07499000000000001,0.5192399999999999,0.13537000000000002
11,11,mask,2020-11-08,0.061080999999999996,38.1,26.1,0.030410000000000003,0.21334,0.07326,0.50697,0.14032
12,12,mask,2020-11-09,0.062484882352941175,39.352941176470594,27.588235294117645,0.034052941176470584,0.20535882352941176,0.08729411764705883,0.5029294117647058,0.1396529411764706
13,13,mask,2020-11-12,0.04544628571428572,37.285714285714285,28.42857142857143,0.045642857142857145,0.1995428571428572,0.07668571428571429,0.5148428571428572,0.13258571428571428
14,14,mask,2020-11-13,0.050210043478260864,37.869565217391305,29.56521739130435,0.04437826086956522,0.2111260869565217,0.07831304347826087,0.5050826086956522,0.13661739130434786
15,15,mask,2020-11-14,0.053218444444444436,39.111111111111114,28.222222222222218,0.03555555555555556,0.2179444444444445,0.07525555555555555,0.4974333333333333,0.1297111111111111
16,16,mask,2020-11-16,0.0512348,38.6,26.6,0.033819999999999996,0.20514,0.07682,0.49986,0.14554000000000006
17,17,mask,2020-11-17,-0.020206400000000003,30.2,35.2,0.03996,0.2092,0.06284000000000001,0.5079600000000001,0.13346
