,Unnamed: 0,Search,Entered on,compound_avg,percent_positive,percent_negative,angry_avg,fear_avg,happy_avg,sad_avg,surprise_avg
0,0,Socialism,2020-10-22,0.05585113333333334,38.8,30.8,0.04509333333333333,0.29660000000000003,0.0897,0.17319333333333334,0.20352666666666666
1,1,Socialism,2020-10-26,0.0342577,38.5,32.5,0.059870000000000013,0.3322100000000001,0.08118,0.18182,0.18442000000000006
2,2,Socialism,2020-10-27,0.054894500000000006,39.5,28.000000000000004,0.03913333333333333,0.3490333333333333,0.0832,0.1604833333333333,0.20760000000000006
3,3,Socialism,2020-10-28,0.0456739,40.8,30.5,0.039430000000000014,0.32245,0.09726,0.17207,0.19435999999999998
4,4,Socialism,2020-10-29,0.0445204,37.2,29.6,0.04248,0.30460000000000004,0.08560000000000001,0.1657,0.24516
5,5,Socialism,2020-10-31,0.0896384,40.8,25.4,0.03882,0.2898,0.08703999999999999,0.15788,0.19408
6,6,Socialism,2020-11-01,0.034245,37.0,34.0,0.036275,0.35590000000000005,0.085175,0.13135000000000002,0.22055
7,7,Socialism,2020-11-02,0.07478829999999999,42.35,27.65,0.048845,0.283605,0.07899500000000001,0.16854000000000002,0.20349
8,8,Socialism,2020-11-03,0.022052272727272733,38.51515151515152,34.303030303030305,0.048818181818181816,0.27860303030303035,0.08324545454545455,0.1880878787878788,0.2233818181818182
9,9,Socialism,2020-11-04,-0.011002000000000005,39.0,36.8,0.03638,0.3173,0.06914000000000001,0.20614,0.21038
10,10,Socialism,2020-11-05,0.021195099999999998,37.2,34.1,0.043289999999999995,0.29730999999999996,0.08386000000000003,0.19579,0.22919
11,11,Socialism,2020-11-08,0.0527,40.1,30.1,0.05114,0.31437,0.07907,0.18692999999999999,0.19607
12,12,Socialism,2020-11-09,0.038294888888888885,37.55555555555555,30.833333333333336,0.04004444444444445,0.29806666666666665,0.08355555555555556,0.17976111111111115,0.21521666666666667
13,13,Socialism,2020-11-11,0.0076080000000000045,32.0,30.0,0.0636,0.34739999999999993,0.0935,0.1391,0.1561
14,14,Socialism,2020-11-12,0.03323142857142857,38.571428571428584,30.857142857142854,0.033400000000000006,0.31725714285714285,0.09428571428571428,0.20582857142857144,0.1915714285714286
15,15,Socialism,2020-11-13,0.03976139130434783,39.39130434782609,31.43478260869565,0.04046956521739131,0.2984217391304348,0.09169565217391304,0.19111739130434785,0.21168260869565214
16,16,Socialism,2020-11-14,0.0413973,39.7,29.6,0.03871,0.29002999999999995,0.09226,0.17959,0.21686
17,17,Socialism,2020-11-16,0.038519599999999994,36.8,29.4,0.040740000000000005,0.3358,0.09024,0.15796000000000002,0.19878000000000004
18,18,Socialism,2020-11-17,0.047068599999999995,40.0,30.4,0.03418,0.29991999999999996,0.08730000000000003,0.19444,0.1998
19,19,Socialism,2020-11-18,0.028114,39.6,31.8,0.04686,0.29688000000000003,0.08706,0.1881,0.19054000000000001
20,20,Socialism,2020-11-19,0.035029000000000005,38.0,32.6,0.045260000000000015,0.29656,0.08482,0.21954,0.17326
21,21,Socialism,2020-11-20,0.0595434,39.8,29.0,0.03596,0.32598,0.08732000000000001,0.16577999999999998,0.20028000000000004
22,22,Socialism,2021-01-06,0.0403545,41.583333333333336,32.416666666666664,0.04683333333333334,0.2949333333333333,0.10935833333333336,0.1924,0.20406666666666667
23,23,Socialism,2021-01-07,0.030885920000000008,39.52,32.56,0.046908000000000005,0.306156,0.101648,0.178556,0.21576
24,24,Socialism,2021-01-12,0.04638285714285715,39.357142857142854,30.07142857142857,0.046328571428571434,0.3151857142857143,0.09587857142857144,0.16777857142857142,0.1956142857142857
25,25,Socialism,2021-01-13,0.0333844,36.6,30.2,0.02332,0.32266,0.09166,0.18152,0.18834
26,26,Socialism,2021-01-15,0.024649200000000003,39.6,28.8,0.03728,0.3139,0.08406,0.19066,0.20322000000000004
27,27,Socialism,2021-01-17,0.044074800000000004,37.2,28.6,0.051879999999999996,0.26406,0.10746,0.17684,0.21324
28,28,Socialism,2021-01-19,0.07308093333333332,41.73333333333333,26.73333333333333,0.04310666666666666,0.3134866666666667,0.09358,0.17564666666666667,0.1970466666666667
29,29,Socialism,2021-01-21,0.0426674,37.04,28.44,0.037868000000000006,0.301112,0.090316,0.163044,0.20284
30,30,Socialism,2021-01-20,0.0833212,41.6,24.8,0.0405,0.3153,0.09302,0.1913,0.20344
31,31,Socialism,2021-01-22,0.067607,39.8,25.8,0.04024,0.29884,0.06980000000000001,0.15916,0.23158
32,32,Socialism,2021-01-24,0.096567,42.0,24.0,0.0349,0.2736,0.0701,0.22340000000000004,0.1572
33,33,Socialism,2021-01-25,0.07147766666666668,38.333333333333336,27.66666666666667,0.0408,0.29806666666666665,0.09306666666666667,0.18513333333333332,0.20926666666666666
