,Unnamed: 0,Search,Entered on,compound_avg,percent_positive,percent_negative,angry_avg,fear_avg,happy_avg,sad_avg,surprise_avg
0,0,Obamacare,2020-10-22,0.10291513333333337,44.66666666666666,45.2,0.053360000000000005,0.3440933333333333,0.06325333333333333,0.19866666666666666,0.2984666666666667
1,1,Obamacare,2020-10-26,0.0465362,37.6,30.0,0.03106,0.33126,0.06559999999999999,0.24366,0.22283
2,2,Obamacare,2020-10-27,0.005824499999999997,37.5,39.83333333333333,0.03316666666666667,0.3411333333333333,0.06463333333333332,0.18871666666666667,0.24525
3,3,Obamacare,2020-10-28,0.0642131,42.0,28.000000000000004,0.03969,0.35386999999999996,0.05753,0.20711999999999997,0.21634000000000006
4,4,Obamacare,2020-10-29,0.044494800000000015,41.8,31.8,0.035440000000000006,0.34434000000000003,0.09492000000000002,0.19876,0.22585999999999998
5,5,Obamacare,2020-10-31,0.02119720000000001,35.6,33.800000000000004,0.04444,0.38602,0.053960000000000015,0.16748000000000002,0.21152
6,6,Obamacare,2020-11-01,0.02913325,40.0,35.75,0.033800000000000004,0.412325,0.0784,0.1446,0.2329
7,7,Obamacare,2020-11-02,0.055765800000000004,40.05,30.8,0.049735000000000015,0.33699,0.06953999999999999,0.13036,0.25344
8,8,Obamacare,2020-11-03,0.07323861290322581,43.935483870967744,29.967741935483872,0.04698387096774194,0.3329483870967742,0.08978064516129032,0.17162580645161288,0.2681387096774194
9,9,Obamacare,2020-11-04,0.0904528,43.4,26.8,0.0415,0.34496000000000004,0.08662,0.18916,0.22102
10,10,Obamacare,2020-11-05,0.0722726,45.0,27.200000000000006,0.05761,0.33652,0.07599000000000003,0.16357000000000002,0.25379
11,11,Obamacare,2020-11-08,0.11225009999999999,45.7,25.5,0.06016000000000001,0.32973,0.07805000000000001,0.19872000000000006,0.20440999999999998
12,12,Obamacare,2020-11-09,0.10112344444444443,46.944444444444436,28.94444444444445,0.056011111111111116,0.3994722222222222,0.06736666666666667,0.17308333333333334,0.2149944444444445
13,13,Obamacare,2020-11-12,0.13117228571428574,49.28571428571429,23.285714285714285,0.043771428571428565,0.3751857142857143,0.06635714285714286,0.14924285714285715,0.2294428571428572
14,14,Obamacare,2020-11-13,0.1110251304347826,49.91304347826088,28.43478260869565,0.038786956521739135,0.38320434782608703,0.061656521739130436,0.1800913043478261,0.21865652173913044
15,15,Obamacare,2020-11-14,0.05103169999999999,43.1,32.4,0.04003,0.37796,0.06308,0.18239,0.19697
16,16,Obamacare,2020-11-16,0.11054260000000002,50.8,24.8,0.021840000000000002,0.36291999999999996,0.08398,0.13562000000000002,0.27105999999999997
17,17,Obamacare,2020-11-17,0.041542399999999986,39.0,29.4,0.03348,0.40316,0.06166000000000001,0.1475,0.20584000000000002
18,18,Obamacare,2020-11-18,0.084728,43.4,27.0,0.022619999999999998,0.35304,0.08372000000000003,0.14195999999999998,0.19577999999999998
19,19,Obamacare,2020-11-19,0.1031766,47.2,23.8,0.047639999999999995,0.4025,0.07872000000000001,0.12058,0.24792000000000006
20,20,Obamacare,2020-11-20,0.02291340000000001,39.8,34.4,0.02848,0.3622,0.09764,0.14931999999999998,0.22798
21,21,Obamacare,2021-01-06,-0.11538233333333335,31.833333333333336,49.58333333333334,0.04626666666666668,0.35365,0.055091666666666685,0.14506666666666668,0.22343333333333332
22,22,Obamacare,2021-01-07,0.02010044,38.92,33.32,0.05396,0.321988,0.07659200000000001,0.17740799999999998,0.218124
23,23,Obamacare,2021-01-12,0.07068378571428571,40.64285714285714,28.07142857142857,0.04227857142857143,0.3729571428571429,0.056035714285714286,0.14017857142857146,0.2265857142857143
24,24,Obamacare,2021-01-13,0.11436860000000001,47.6,17.2,0.06132000000000001,0.33088,0.051579999999999994,0.15652000000000002,0.23882000000000006
25,25,Obamacare,2021-01-15,0.0634212,36.8,28.8,0.035160000000000004,0.3433,0.06975999999999999,0.17668,0.21454
26,26,Obamacare,2021-01-17,0.0613422,41.4,31.4,0.049680000000000016,0.34486,0.06698,0.15384,0.28814
27,27,Obamacare,2021-01-19,0.12494206666666667,49.8,24.93333333333333,0.06381333333333332,0.2639533333333333,0.0641,0.15014666666666668,0.3746333333333334
28,28,Obamacare,2021-01-21,0.01851756,40.6,31.2,0.046072000000000016,0.32947600000000005,0.066348,0.18244,0.2232
29,29,Obamacare,2021-01-20,0.035312400000000015,35.8,35.0,0.048379999999999986,0.42544,0.07302,0.16298,0.21776
30,30,Obamacare,2021-01-22,0.0129934,34.8,34.599999999999994,0.04494,0.34464,0.05644,0.1876,0.17992000000000002
31,31,Obamacare,2021-01-24,0.032356,41.0,32.0,0.051400000000000015,0.4152,0.0378,0.1451,0.2004
32,32,Obamacare,2021-01-25,0.035820999999999985,35.66666666666667,32.666666666666664,0.030800000000000008,0.2717333333333334,0.07003333333333332,0.16433333333333333,0.23296666666666666
33,33,Obamacare,2021-01-28,0.037093466666666665,42.8,30.466666666666665,0.038566666666666666,0.4292400000000001,0.05126666666666667,0.13155999999999998,0.18564
34,34,Obamacare,2021-01-30,0.05378340000000001,41.4,29.8,0.04162,0.35362,0.0718,0.16710000000000005,0.22738000000000003
35,35,Obamacare,2021-02-01,0.0944636,42.6,21.2,0.06444,0.37616,0.033440000000000004,0.14035999999999998,0.23124
36,36,Obamacare,2021-02-02,0.07816100000000001,44.0,26.0,0.02375,0.37885,0.07490000000000001,0.20385,0.18300000000000005
37,37,Obamacare,2021-02-04,0.1195998,47.2,23.0,0.0154,0.3774,0.11068,0.1398,0.26228
