,Search,Tweet,Entered on
0,Trump -filter:retweets,actually record high subscriptions stop trump failing nyts bullshit ,2021-02-09
1,Trump -filter:retweets,china owns arse thats trump withdrew funding ,2021-02-09
2,Trump -filter:retweets,let everyone jails trump guilty murder please dont ever forget police ,2021-02-09
3,Trump -filter:retweets,saying one good chance trump supporter team ,2021-02-09
4,Trump -filter:retweets,trump isnt convicted sending message ppl like trump destroy country ,2021-02-09
5,Trump -filter:retweets,miss mr president trump much hope large family fine live happily ,2021-02-09
6,Trump -filter:retweets,closer billion never know true cost mistake president trump ,2021-02-09
7,Trump -filter:retweets,could stand pledge allegiance flag watch police beaten yet pledge ,2021-02-09
8,Trump -filter:retweets,hour arguments house managers made far line sticks president trump may know lo ,2021-02-09
9,Trump -filter:retweets,teanna trump ,2021-02-09
10,Trump -filter:retweets,according independent non partisan cook political report clintons final tally came 65844610 comp ,2021-02-09
11,Trump -filter:retweets,know know impeachment part 2 unconstitutional farce chief justice john robert even p ,2021-02-09
12,Trump -filter:retweets,want want find 11780 votes one stat ,2021-02-09
13,Trump -filter:retweets,rep cicillines argument good one precedent setting let trump go without held respon ,2021-02-09
14,Trump -filter:retweets,president trump gave us operation warp speed president biden gave uswellnothing ,2021-02-09
15,Trump -filter:retweets,never trump dems cheated congress responsible security cap ,2021-02-09
16,Trump -filter:retweets,doge coin better trump hope doge coin trumps 010 doge coin buythedip dogecoin dogearmy dogecoin rise elon musk ,2021-02-09
17,Trump -filter:retweets,jawdropping video capitol riots kick trump trial sets shockwaves stain nation ,2021-02-09
18,Trump -filter:retweets,saying give trump pass golf peoples lives different score card ,2021-02-09
19,Trump -filter:retweets,blame pelosi shes one made sure bill would ,2021-02-09
20,Trump -filter:retweets,jonathan turley impeaching trump house threatens trash core principle ensure conviction fox news ,2021-02-09
21,Trump -filter:retweets,1 million annual travel budget worst president history perks canceled smart news ,2021-02-09
22,Trump -filter:retweets,congratulations sir elise stefanik amp joker republican senators 4 attending impeachment trial 2 ,2021-02-09
23,Trump -filter:retweets,every senate republican votes trumps conviction stands unity ,2021-02-09
24,Trump -filter:retweets,100 jaded turn blind eye senators solely wholly devoted country ,2021-02-09
25,Trump -filter:retweets,literally pictures hunter smoking crack fucking kid ,2021-02-09
26,Trump -filter:retweets,know republican fox news fox business oann talking point defensible convicting trump ,2021-02-09
27,Trump -filter:retweets,nearly 30 years ago trump lawyer told town would prohibited living allowed con ,2021-02-09
28,Trump -filter:retweets,even even allow absurd notion president entitled one mu llig trump alre ,2021-02-09
29,Trump -filter:retweets,democrats drop ball trump second impeachment trial even begins doe ,2021-02-09
30,Trump -filter:retweets,easy watch really brings home exactly things unfolded horrific human trump wasi ,2021-02-09
31,Trump -filter:retweets,gqp estopped arguing timingjurisdiction since agreed feb trial date amp refu ,2021-02-09
32,Trump -filter:retweets,fake trial judge video capitol riot played gop senators turned away trump fuck co ,2021-02-09
33,Trump -filter:retweets,even justice john roberts trump lover knew going dumpster fire elected sit ,2021-02-09
34,Trump -filter:retweets,youre dipshit trump caused jan 6 insurrection convict 45 republican senators impeachment ,2021-02-09
35,Trump -filter:retweets,world needs see video riot many trump supporters foreigners living ,2021-02-09
36,Trump -filter:retweets,anyway listening beach house drinking gin writing trump used tweet ,2021-02-09
