,Search,Tweet,Entered on
0,Trump -filter:retweets,alaska might reach lot polling 538 ,2020-10-31
1,Trump -filter:retweets,trump corrupt mongrel ,2020-10-31
2,Trump -filter:retweets,obamas lying flint right thanks trump people drink water ,2020-10-31
3,Trump -filter:retweets,find rich person photo epstein also trump banned ,2020-10-31
4,Trump -filter:retweets,exactly said trump first day office ,2020-10-31
5,Trump -filter:retweets,hes gonna lose like mc cain zeitgeist financial crisis trump ,2020-10-31
6,Trump -filter:retweets,trump going push recount enthusiasm meter like game show ,2020-10-31
7,Trump -filter:retweets,frankly care vote would vote stupid evil encouraging even trum ,2020-10-31
8,Trump -filter:retweets,get ahead win first wo easy trump dirty tricks campaign ,2020-10-31
9,Trump -filter:retweets,new study estimates 18 trump rallies led 3000 covid cases 700 deaths sheesh sendin ,2020-10-31
10,Trump -filter:retweets,speaking press left msnbc showing melania reading propaganda speech monitor right side mo ,2020-10-31
11,Trump -filter:retweets,imagine trump pence bus antifa supporters trump foxlaw enforcement reaction ,2020-10-31
12,Trump -filter:retweets,,2020-10-31
13,Trump -filter:retweets,payback time allegedly independent judiciary increasingly seems like federa ,2020-10-31
14,Trump -filter:retweets,please trump supports go rallies get infected like 1 ,2020-10-31
15,Trump -filter:retweets,trump rallies led 3000 coronavirus cases 700 deaths ,2020-10-31
16,Trump -filter:retweets,wonder youll ever work cant see whats happening youre blind ,2020-10-31
17,Trump -filter:retweets,trump seek overturn sex marriafe ,2020-10-31
18,Trump -filter:retweets,biden could jog backwards trump collapsed ,2020-10-31
19,Trump -filter:retweets,trump campaign mostly cancels minnesota event accuses democrats cancelling smart news ,2020-10-31
20,Trump -filter:retweets,parents btw spectrum kid noticed ,2020-10-31
21,Trump -filter:retweets,many billions trump laundered russian mob ,2020-10-31
22,Trump -filter:retweets,trump voters posts nothing inflammatory thoughts darkest obsolete corners mind also ,2020-10-31
23,Trump -filter:retweets,really makes sad trump evil towards hispanic illegal immigrants portrays monsters ,2020-10-31
24,Trump -filter:retweets,enough lies joe biden done donald trumps covid 19 bs new ad via ,2020-10-31
25,Trump -filter:retweets,make mad trump making comments causing stupid trumpets rally boo doctors ,2020-10-31
26,Trump -filter:retweets,questioning bobby orr thought process seeing support trump ,2020-10-31
27,Trump -filter:retweets,thread clear trump supporters intimidating ,2020-10-31
28,Trump -filter:retweets,results ibdtipp tracking poll released saturday give president trump fresh hope another electoral ,2020-10-31
29,Trump -filter:retweets,ohh watch cnn better leave soon ur iq go like gdp nd hypocracy st ,2020-10-31
30,Trump -filter:retweets,trump biden polls win 2020 election 2016 polling error happens fortune ,2020-10-31
31,Trump -filter:retweets,barnes_ law said 830pm fl came big trump happen tuesday fl ,2020-10-31
32,Trump -filter:retweets,heres thread ads donald trump actually released public political gain ,2020-10-31
33,Trump -filter:retweets,blks turning means vote trump staying home ,2020-10-31
34,Trump -filter:retweets,worry next trump figure next fascist capture 45 wi ,2020-10-31
35,Trump -filter:retweets,voted trump pence republican party ,2020-10-31
36,Trump -filter:retweets,,2020-10-31
37,Trump -filter:retweets,vote vote red need get time let vote elect president trump ,2020-10-31
38,Trump -filter:retweets,gonna lie day covered big mikes bidens book trump book ,2020-10-31
39,Trump -filter:retweets,november surprise trump coming red wave political insider election2020 ,2020-10-31
40,Trump -filter:retweets,trump lies antifa spreading violence ,2020-10-31
41,Trump -filter:retweets,bad plastic surgery doc trump used forehead lift feo ,2020-10-31
42,Trump -filter:retweets,extremism come top pushed america corporate media cnn msnbc trea ,2020-10-31
43,Trump -filter:retweets,thats utter incompetence amp lack concern oldest americans ,2020-10-31
44,Trump -filter:retweets,bloomberg wealth america richest people increased combined wealth staggering 1 trillion trump presidency ,2020-10-31
45,Trump -filter:retweets,half girls wloo went trump rally really dont know form opinions ,2020-10-31
46,Trump -filter:retweets,early voting shown unthinkable hate trump across country ,2020-10-31
47,Trump -filter:retweets,trump ,2020-10-31
48,Trump -filter:retweets,proud people german patriots greet maga germany ga vote republicans vote donald trump ,2020-10-31
49,Trump -filter:retweets,donald trump get votes texans either cannot ways ,2020-10-31
50,Trump -filter:retweets,president trump must close cnn media ever ,2020-10-31
51,Trump -filter:retweets,omg keeps getting better better narcissistic lying asshole go hell mr trump ,2020-10-31
52,Trump -filter:retweets,whats totally nuts could anyone torn whether vote biden ,2020-10-31
53,Trump -filter:retweets,president trump never gives truly loves american people trump2020 ever ,2020-10-31
54,Trump -filter:retweets,trump first president lose jobs since herbert hoover thats long time ago obama thats true ,2020-10-31
55,Trump -filter:retweets,trump actually peeps chanting 2 lock mi governor trying save lives trump ,2020-10-31
56,Trump -filter:retweets,love great finally gets gratitude sickens many jews ,2020-10-31
57,Trump -filter:retweets,im sorry trump say turd mentality ,2020-10-31
58,Trump -filter:retweets,collateral damage trump ,2020-10-31
59,Trump -filter:retweets,disgusting trump president ,2020-10-31
60,Trump -filter:retweets,trump trump 2020 ,2020-10-31
61,Trump -filter:retweets,hope meant trump lock ,2020-10-31
62,Trump -filter:retweets,burn trump flags ,2020-10-31
63,Trump -filter:retweets,weird trump would poll eight points approval rating ,2020-10-31
64,Trump -filter:retweets,could regarded genocide trump ,2020-10-31
65,Trump -filter:retweets,trump 2016 populist studied dems rs actually wanting gain power w ,2020-10-31
66,Trump -filter:retweets,trump gonna lose shit tonight twitter might even drop n word ,2020-10-31
67,Trump -filter:retweets,vote trump save world ,2020-10-31
68,Trump -filter:retweets,think trump saying anywhere within vast spectrum truth ,2020-10-31
69,Trump -filter:retweets,ny ag serves notice trump msnbc shes coming family election ,2020-10-31
70,Trump -filter:retweets,going bloodbath trump burbs urban centers biden eat ,2020-10-31
71,Trump -filter:retweets,trump idk close call ,2020-10-31
72,Trump -filter:retweets,facebook group taken today trump 2020 vote matters taken 3 yea ,2020-10-31
73,Trump -filter:retweets,crazy unbelievable think trump going call poor boys action ,2020-10-31
74,Trump -filter:retweets,somehow president trump done better pm boris controlling pandemic ,2020-10-31
75,Trump -filter:retweets,also discussed whether trumps need satisfy ego desire money might cause fome ,2020-10-31
76,Trump -filter:retweets,covering trump rally reading pa ,2020-10-31
77,Trump -filter:retweets,disparaging unborn interesting concept seriously trump regularly insults mi ,2020-10-31
78,Trump -filter:retweets,texas trump supporters could caused massive accident amp killed people hope whoever rea ,2020-10-31
79,Trump -filter:retweets,perfectly normal reaction seeing trump supporter parade ,2020-10-31
80,Trump -filter:retweets,obama literally roasting trump ,2020-10-31
81,Trump -filter:retweets,resign soon makes sense pence write pardons put ,2020-10-31
82,Trump -filter:retweets,fascists country organizing suppress vote keep trump power solidarity means showing ,2020-10-31
83,Trump -filter:retweets,trump needs 1 vote line chip away everywhere achieve ,2020-10-31
84,Trump -filter:retweets,cares cold pictures taken proves absolutely nothin ,2020-10-31
85,Trump -filter:retweets,orr nicklaus endorsing trump fans might profoundly disappointed ,2020-10-31
86,Trump -filter:retweets,caught zip ,2020-10-31
87,Trump -filter:retweets,many shy trump voters vote ,2020-10-31
88,Trump -filter:retweets,yea im scared trump fs give ,2020-10-31
89,Trump -filter:retweets,low energy trump gives pathetic speech minnesota 21 minutes limited 250 suppo ,2020-10-31
90,Trump -filter:retweets,went wrong gop 2020 election cycle ,2020-10-31
91,Trump -filter:retweets,trump lose get hell ,2020-10-31
92,Trump -filter:retweets,biden loses lockdowns riots play trump voters perpe ,2020-10-31
93,Trump -filter:retweets,go around trump would need polling errors midwest really pa southeast southwe ,2020-10-31
94,Trump -filter:retweets,says self appointed torquemada rump inquisition ,2020-10-31
95,Trump -filter:retweets,biden got 80 vote travis county would look like 650 ,2020-10-31
96,Trump -filter:retweets,basement needs better social distancing cant nag trump let slid ,2020-10-31
97,Trump -filter:retweets,got blocked ok cant help idea trump amp innocent sentence literally ,2020-10-31
98,Trump -filter:retweets,amazing still posting like positive trump ,2020-10-31
99,Trump -filter:retweets,nigel farage trump campaign ralley 2020 nice speech ,2020-10-31
100,Biden -filter:retweets,thank mr president appreciate america support joe biden lets get done ,2020-10-31
101,Biden -filter:retweets,thought trump biden laughing loud ,2020-10-31
102,Biden -filter:retweets,flip senate ignore polls ignore news make sure vote biden every r ,2020-10-31
103,Biden -filter:retweets,people want biden 1 lies blames republicans crap ,2020-10-31
104,Biden -filter:retweets,evict obama biden building cages setting policy ,2020-10-31
105,Biden -filter:retweets,say im gonna vote mean im gonna go yell people vote biden since im old enough vote yet ,2020-10-31
106,Biden -filter:retweets,door knocking lit dropping biden harris easton pa today feeling good ,2020-10-31
107,Biden -filter:retweets,awful see free covid 19 infection possibility following death get offer ,2020-10-31
108,Biden -filter:retweets,obama speaks biden today people notice friendship something common folks ,2020-10-31
109,Biden -filter:retweets,source rudy giuliani fox news wouldnt even pick like dont love ,2020-10-31
110,Biden -filter:retweets,trump supporters try run biden harris bus staffer road wheres gop condemn ,2020-10-31
111,Biden -filter:retweets,vote donald j trump 2020 dont idiot vote asshole biden smart ,2020-10-31
112,Biden -filter:retweets,forget dems vote biden vote tell anybody ,2020-10-31
113,Biden -filter:retweets,let get smart elect biden ,2020-10-31
114,Biden -filter:retweets,sorry international success trump butobama biden talk covid ,2020-10-31
115,Biden -filter:retweets,still 2 days left early voting remaining rs b ,2020-10-31
116,Biden -filter:retweets,trump caravan peacefully escorting biden campaign bus tx ,2020-10-31
117,Biden -filter:retweets,basically 20000 fewer biden voters run numbers ,2020-10-31
118,Biden -filter:retweets,new normal america wonder many trump supporters approve mpts run ,2020-10-31
119,Biden -filter:retweets,trump biden wins fracking oil natural gas jobs future ,2020-10-31
120,Biden -filter:retweets,texans disrupted events today well see november 3rd ,2020-10-31
121,Biden -filter:retweets,thats big basement biden ,2020-10-31
122,Biden -filter:retweets,austin voting biden ,2020-10-31
123,Biden -filter:retweets,hey ho hey ho joe biden got go ,2020-10-31
124,Biden -filter:retweets,white car biden staffer truck clearly belong caravan including unsafel ,2020-10-31
125,Biden -filter:retweets,anyways omg biden stan ,2020-10-31
126,Biden -filter:retweets,joe biden promising return united states globalized economic model suggesting fate us ,2020-10-31
127,Biden -filter:retweets,biden could jog backwards trump collapsed ,2020-10-31
128,Biden -filter:retweets,money assets held hunter jim bidens name witness tony b explained ,2020-10-31
129,Biden -filter:retweets,actually vote biden vote evict c ,2020-10-31
130,Biden -filter:retweets,surprised obama dared go back flint awkward visit way back water contamina ,2020-10-31
131,Biden -filter:retweets,enough lies joe biden done donald trumps covid 19 bs new ad via ,2020-10-31
132,Biden -filter:retweets,makes look like ,2020-10-31
133,Biden -filter:retweets,ohh watch cnn better leave soon ur iq go like gdp nd hypocracy st ,2020-10-31
134,Biden -filter:retweets,trump biden polls win 2020 election 2016 polling error happens fortune ,2020-10-31
135,Biden -filter:retweets,watching video vote scranton4 biden back blue pa ,2020-10-31
136,Biden -filter:retweets,joe biden falsely says son hunter laptop smear russia via tube ,2020-10-31
137,Biden -filter:retweets,hid wh bunker one week election biden wife ,2020-10-31
138,Biden -filter:retweets,man obama much better speaking joe biden ,2020-10-31
139,Biden -filter:retweets,voted joe biden amp kamala harris amp every single democrat ze ticket vote biden harris2020 save america ,2020-10-31
140,Biden -filter:retweets,come man clear joe biden saying mobilize true international pressure c ,2020-10-31
141,Biden -filter:retweets,former israeli envoy us sees tens billions dollars iranian terror biden via news ,2020-10-31
142,Biden -filter:retweets,gonna lie day covered big mikes bidens book trump book ,2020-10-31
143,Biden -filter:retweets,guy took video happened shows white suv directly behind bus white ,2020-10-31
144,Biden -filter:retweets,well deserving commander chief joe biden 48 years tha ,2020-10-31
145,Biden -filter:retweets,twitter forced confess protected corrupt vice president biden amp whole family made millions c ,2020-10-31
146,Biden -filter:retweets,biden harris bus ,2020-10-31
147,Biden -filter:retweets,wonder courage read ,2020-10-31
148,Biden -filter:retweets,merciful benevolent soul behind policy joe biden admirer nixon lawamporder platfo ,2020-10-31
149,Biden -filter:retweets,depends win fl counts mail ballots early would likely clinch ,2020-10-31
150,Biden -filter:retweets,whats totally nuts could anyone torn whether vote biden ,2020-10-31
151,Biden -filter:retweets,censor rasputin ,2020-10-31
152,Biden -filter:retweets,yes shame biden supporters let sink moment riot racist white ,2020-10-31
153,Biden -filter:retweets,going bloodbath trump burbs urban centers biden eat ,2020-10-31
154,Biden -filter:retweets,facebook group taken today trump 2020 vote matters taken 3 yea ,2020-10-31
155,Biden -filter:retweets,alr b iden laugh ifykyk ,2020-10-31
156,Biden -filter:retweets,vote biden lying racist thief ignored covid ,2020-10-31
157,Biden -filter:retweets,neither feel free wish treasonous killary biden crime family ,2020-10-31
158,Biden -filter:retweets,worked better would joe biden president biden would never close ,2020-10-31
159,Biden -filter:retweets,ps tulsi2024 tulsi fight corruption war would suppor ,2020-10-31
160,Biden -filter:retweets,yeah joe biden find something new ,2020-10-31
161,Biden -filter:retweets,reminding economy shitter ,2020-10-31
