,Search,Tweet,Entered on
0,Trump -filter:retweets,always one put court week ahead election overturn ,2020-10-27
1,Trump -filter:retweets,ajsd lying pos trump claims doctors overcounting covid 19 deaths make money ,2020-10-27
2,Trump -filter:retweets,made chuckle trump ruin anything given chance ,2020-10-27
3,Trump -filter:retweets,trump yells covid covid covid hes upset covid gets airtime ,2020-10-27
4,Trump -filter:retweets,trump wanted go away give dna would exonerate ,2020-10-27
5,Trump -filter:retweets,trump 2020 ,2020-10-27
6,Trump -filter:retweets,campaigning trump heard say anything reelection ,2020-10-27
7,Trump -filter:retweets,trump never really pandemic something took away attention ,2020-10-27
8,Trump -filter:retweets,trump ending call okay rick thank ,2020-10-27
9,Trump -filter:retweets,hell come around counting absentee ballots trump losing end day november 3rd ,2020-10-27
10,Trump -filter:retweets,amy coney barrett shown true colors shes tied trump time shows ,2020-10-27
11,Trump -filter:retweets,lies lies lies trump lies american die ,2020-10-27
12,Trump -filter:retweets,laying gusto said trump inadequate job ,2020-10-27
13,Trump -filter:retweets,one might say trump spreading covid around wh ingenious way refocusing medias attention back ,2020-10-27
14,Trump -filter:retweets,oh poor little marco trump liked call go party friends ,2020-10-27
15,Trump -filter:retweets,ca stand trump republicans ca forgive 1994 crime bill jo obvious choice ,2020-10-27
16,Trump -filter:retweets,trump pence huge crowd supporters opponents cheat ,2020-10-27
17,Trump -filter:retweets,rush imagine hillary elected instead trump would supreme court look roberts ,2020-10-27
18,Trump -filter:retweets,trump trust ,2020-10-27
19,Trump -filter:retweets,texas leaning toward trump wrong texans ca see harm trump ha ,2020-10-27
20,Trump -filter:retweets,meanwhile trump touting ice cube endorsement ,2020-10-27
21,Trump -filter:retweets,2016 people sure trump would 2020 certain ,2020-10-27
22,Trump -filter:retweets,way trump win promotes voter suppression ,2020-10-27
23,Trump -filter:retweets,thank president obama wonderful trump roast ,2020-10-27
24,Trump -filter:retweets,jerd kushner poor leader needs shut mouth trump done nothing black ,2020-10-27
25,Trump -filter:retweets,trump got chance ,2020-10-27
26,Trump -filter:retweets,reviewing statements facts observation honorable donald j trump president ,2020-10-27
27,Trump -filter:retweets,god bless mister president trump ,2020-10-27
28,Trump -filter:retweets,like trump like trump ,2020-10-27
29,Trump -filter:retweets,ex president lying florida continuing fake news propaganda saying biden things ,2020-10-27
30,Trump -filter:retweets,americans trump commies biden warm springs ga ,2020-10-27
