,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Amy Coney Barrett,scotus circuit court assignments came today effective november 20 2020 mi brett kavanaugh 6th c ,2020-11-20,0.193,0.807,0.0,0.4767,0.0,0.5,0.0,0.0,0.5
1,Amy Coney Barrett,amy coney barrett ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Amy Coney Barrett,breaking circuit courts reassigned effective november 20 2020 ,2020-11-20,0.307,0.693,0.0,0.4767,0.0,0.5,0.0,0.0,0.5
3,Amy Coney Barrett,sure frauds breaking circuit courts reassigned effective november ,2020-11-20,0.394,0.365,0.241,0.2732,0.0,0.67,0.0,0.0,0.33
4,Amy Coney Barrett,look charge pa wi mi ga circuit courts reassigned effective november 20 2020 ,2020-11-20,0.205,0.795,0.0,0.4767,0.0,0.5,0.5,0.0,0.0
5,Amy Coney Barrett,barbara mc quade jfks response oh yes catholic democrat ignorantly advising dems ,2020-11-20,0.176,0.654,0.17,0.0258,0.0,0.33,0.0,0.67,0.0
6,Amy Coney Barrett,breaking look charge pa wi mi ga circuit courts reassigned effective nov 20 ,2020-11-20,0.205,0.795,0.0,0.4767,0.0,0.33,0.33,0.0,0.33
7,Amy Coney Barrett,mean ruling class makes sure always stay power adding justices like mitch mc con ,2020-11-20,0.286,0.714,0.0,0.5859,0.22,0.33,0.0,0.33,0.11
8,Amy Coney Barrett,maybe send amy coney barrett yesterday lifted stay execution orlando h ,2020-11-20,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
9,Amy Coney Barrett,effective nov 20 2020 ordered pursuant title 28 usc 42 look charge mi wi pa ga mi b ,2020-11-20,0.162,0.838,0.0,0.4767,0.0,0.5,0.5,0.0,0.0
10,Amy Coney Barrett,amy coney barrett goes senate via tube ,2020-11-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
11,Amy Coney Barrett,supreme court continues capital punishment trend barrett bench ,2020-11-20,0.281,0.469,0.25,0.1027,0.0,1.0,0.0,0.0,0.0
12,Amy Coney Barrett,breaking circuit courts reassigned effective november 20 2020 ordered pursuant title 28 usc secti ,2020-11-20,0.193,0.807,0.0,0.4767,0.0,0.67,0.0,0.0,0.33
13,Amy Coney Barrett,republicans insist amy coney barretts religion limits raphael warnocks ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,Amy Coney Barrett,case wondering resistance gets justice amy coney barrett ,2020-11-20,0.327,0.673,0.0,0.5267,0.0,0.5,0.0,0.0,0.5
15,Amy Coney Barrett,amy coney barrett went harsh treatment religion justice alito appoin ,2020-11-20,0.238,0.559,0.203,0.128,0.0,0.67,0.0,0.33,0.0
16,Amy Coney Barrett,amy coney barrett first decision supreme court justice side conservative justices exec ,2020-11-20,0.412,0.588,0.0,0.7906,0.0,0.8,0.0,0.0,0.2
17,Amy Coney Barrett,supreme court justice amy coney barrett follows religious faith rules like jesus without sin ,2020-11-20,0.628,0.372,0.0,0.9352,0.0,0.75,0.0,0.0,0.25
18,Amy Coney Barrett,help confirm amy coney barrett quiet ,2020-11-20,0.351,0.649,0.0,0.4019,0.0,0.33,0.0,0.33,0.33
19,Amy Coney Barrett,breaking look charge pa wi mi ga circuit courts reassigned effect ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5
20,Amy Coney Barrett,breaking look charge pa wi mi ga circuit courts reassigned effec ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33
21,Amy Coney Barrett,breaking look charge pa wi mi ga circuit courts reassigned effectiv ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33
22,Amy Coney Barrett,breaking look charge pa wi mi ga circuit courts reassign ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33
23,Amy Coney Barrett,circuit courts reassigned effective november 2 ,2020-11-20,0.437,0.563,0.0,0.4767,0.0,1.0,0.0,0.0,0.0
24,Amy Coney Barrett,us presidential elections2020 scotus picked appellate courts hear election fraud swing states thomas ,2020-11-20,0.0,0.759,0.241,-0.5859,0.0,0.67,0.0,0.33,0.0
25,Amy Coney Barrett,breaking look charge pa wi mi ga circuit courts reassigned effec ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33
26,Amy Coney Barrett,breaking look charge pa wi mi ga circuit courts reassigne ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33
27,Amy Coney Barrett,really like amy coney barrett wo recuse trump prosecutions ,2020-11-20,0.259,0.741,0.0,0.4201,0.0,0.0,0.0,0.0,1.0
28,Amy Coney Barrett,breaking look charge pa wi mi ga circuit courts reassigned ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33
29,Amy Coney Barrett,effective november 20 2020 ordered pursuant title 28 united states code section 42 look charge ,2020-11-20,0.312,0.688,0.0,0.7096,0.0,0.33,0.33,0.33,0.0
30,Amy Coney Barrett,barbara mc quade legal advisor biden transition encouraged dems violate article vi clause 3 us constituti ,2020-11-20,0.208,0.625,0.167,-0.0516,0.5,0.5,0.0,0.0,0.0
31,Amy Coney Barrett,amy coney barrett belongs one rogue groups wors ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
32,Amy Coney Barrett,biden adviser barbara mc quade wanted sink amy coney barrett catholic faith smart news dsm v diagn ,2020-11-20,0.282,0.718,0.0,0.6705,0.0,0.0,0.0,0.5,0.5
33,Amy Coney Barrett,breaking circuit courts reassigned supreme court effective november 20 2020 look ,2020-11-20,0.427,0.573,0.0,0.7717,0.0,0.67,0.0,0.0,0.33
34,Amy Coney Barrett,wish believed said arrows quiver regarding amy coney barrett ,2020-11-20,0.252,0.748,0.0,0.4019,0.0,0.33,0.33,0.0,0.33
35,Amy Coney Barrett,case wonder kind insanity controls court strong women like amy barrett submit ,2020-11-20,0.44,0.383,0.177,0.6705,0.0,0.25,0.5,0.0,0.25
36,Amy Coney Barrett,breaking circuit courts reassigned effective november 20 2020 ordered pursuant title 28 united ,2020-11-20,0.349,0.651,0.0,0.7096,0.0,0.67,0.0,0.0,0.33
37,Amy Coney Barrett,good news evidently need worry amy coney barretts faith interfering ,2020-11-20,0.365,0.449,0.186,0.4215,0.0,0.0,0.25,0.5,0.25
38,Amy Coney Barrett,alternative question appointing amy coney barrett blow trumps face ,2020-11-20,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67
39,Amy Coney Barrett,would amy coney barrett would leave whoever cooks house hec ,2020-11-20,0.0,0.882,0.118,-0.0516,0.0,0.67,0.0,0.0,0.33
40,Amy Coney Barrett,isnt man voted confirm amy coney barrett associate justice supreme court ,2020-11-20,0.438,0.562,0.0,0.7906,0.0,1.0,0.0,0.0,0.0
41,Amy Coney Barrett,sanctity human life 5 catholic supreme court justices authorized another death penalty ,2020-11-20,0.195,0.432,0.373,-0.5106,0.0,1.0,0.0,0.0,0.0
42,Amy Coney Barrett,amy coney barrett pro life first decision supreme court put man death ,2020-11-20,0.206,0.571,0.223,-0.0772,0.0,0.67,0.0,0.17,0.17
43,Amy Coney Barrett,unlike amy coney barrett whose first vote supreme court justice execution feeling conflicted ,2020-11-20,0.459,0.541,0.0,0.8176,0.0,0.5,0.0,0.25,0.25
44,Amy Coney Barrett,breaking look charge pa wi mi ga circuit courts reassigned effective november ,2020-11-20,0.22,0.78,0.0,0.4767,0.0,0.33,0.33,0.0,0.33
45,Amy Coney Barrett,many people died catching covid rose garden ceremony justice amy coney barrett huge ,2020-11-20,0.295,0.518,0.187,0.2732,0.0,1.0,0.0,0.0,0.0
46,Amy Coney Barrett,would welcome sane people allies said recall dems v ,2020-11-20,0.3,0.7,0.0,0.4588,0.0,0.33,0.33,0.0,0.33
47,Amy Coney Barrett,supreme court unveils new circuit assignments justices conservative justices brett kavanaugh samuel alito ,2020-11-20,0.231,0.769,0.0,0.5574,0.0,1.0,0.0,0.0,0.0
48,Amy Coney Barrett,breaking circuit courts reassigned effective november 20 2020 ordered pursuant title 28 united st ,2020-11-20,0.33,0.67,0.0,0.7096,0.0,0.67,0.0,0.0,0.33
49,Amy Coney Barrett,look idiot amy scotus hired mango mussolini said ,2020-11-20,0.0,0.68,0.32,-0.5106,0.0,0.0,0.0,0.0,1.0
50,Amy Coney Barrett,one side told america setting precedent refusing vote merrick garland scot ,2020-11-20,0.0,0.787,0.213,-0.4019,0.0,0.33,0.0,0.67,0.0
51,Amy Coney Barrett,yall told amy coney barrett pro life yall told cared sanctity life yall ,2020-11-20,0.189,0.811,0.0,0.4215,0.0,0.4,0.0,0.6,0.0
52,Amy Coney Barrett,election determined justices supreme court fake news media mi brett kavan ,2020-11-20,0.351,0.468,0.181,0.4404,0.0,0.67,0.0,0.33,0.0
53,Amy Coney Barrett,remember names watching news flip ,2020-11-20,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
