,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,conservative,province govt controlled conservative party kalimantan kalimantanjugaindonesia ,2021-01-22,0.31,0.69,0.0,0.4019,0.0,0.0,0.0,0.0,0.0
1,conservative,hes pulling lindsey graham john baird stephen lecce guys live ,2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,conservative,aliens already competing jobs even conservative think tanks see positives ne ,2021-01-22,0.254,0.746,0.0,0.5267,0.0,0.67,0.0,0.0,0.33
3,conservative,literally apart ramming 3 radicalized conservative supreme court justices ,2021-01-22,0.34,0.66,0.0,0.5574,0.0,1.0,0.0,0.0,0.0
4,conservative,never see people left confront shallow logic thomas sowell impressed repub ,2021-01-22,0.225,0.652,0.123,0.34,0.0,0.0,0.5,0.5,0.0
5,conservative,still job plenty smart conservative women objec ,2021-01-22,0.31,0.69,0.0,0.4019,0.0,1.0,0.0,0.0,0.0
6,conservative,love cute faux outrage expected conservative officials ,2021-01-22,0.497,0.276,0.228,0.5994,0.0,0.0,1.0,0.0,0.0
7,conservative,trump doorknobs broken brains think mc cain wasnt conservative biden socialist ,2021-01-22,0.0,0.763,0.237,-0.4767,0.0,0.0,0.0,0.0,1.0
8,conservative,judges conservative liberal ,2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,conservative,im nerd still conservative like games anime retarded leftists like ,2021-01-22,0.296,0.355,0.349,-0.2263,0.0,1.0,0.0,0.0,0.0
10,conservative,matthew walther count conservative contrarianism contort ridiculous positio ,2021-01-22,0.0,0.737,0.263,-0.3612,0.0,1.0,0.0,0.0,0.0
11,conservative,dating apps got inkling feeling conservative swipe left ,2021-01-22,0.176,0.824,0.0,0.128,0.0,0.0,0.0,0.0,0.0
12,conservative,grew super conservative christian got forced church worked liberal ,2021-01-22,0.281,0.504,0.216,0.2263,0.0,0.67,0.0,0.0,0.33
13,conservative,long defensive coordinator way conservative play caller hated bend dont break defense ,2021-01-22,0.205,0.469,0.326,-0.4714,0.14,0.57,0.0,0.14,0.14
14,conservative,think conservative fans would accept bernie ,2021-01-22,0.342,0.658,0.0,0.3818,0.0,0.5,0.0,0.0,0.5
15,conservative,criticizing liberals make conservative laugh ,2021-01-22,0.396,0.33,0.275,0.2732,0.0,0.0,0.0,1.0,0.0
16,conservative,really feel comfortable discussing anything specific give ammo ,2021-01-22,0.338,0.662,0.0,0.5542,0.0,0.33,0.33,0.0,0.33
